time,d,e,x_1,x_2
2.5,-0.0426171649871339,-0.103671909169319,-0.103671909169319,-0.0107542395870197
2.6,-0.0405313324670394,-0.104659709368166,-0.104659709368166,-0.00901670147846667
2.7,-0.0344780107266723,-0.105468107059817,-0.105468107059817,-0.00716915134410822
2.8,-0.0250497410739525,-0.106067664138635,-0.106067664138635,-0.00484794531050203
2.9,-0.0131694282331054,-0.106396979477103,-0.106396979477103,-0.00177657133830181
3,-1.56572924070685e-17,-0.106372741472877,-0.106372741472877,0.00220799865682267
3.1,0.0131694282331053,-0.105901846869878,-0.105901846869878,0.00714020270695533
3.2,0.0250497410739524,-0.10489438657373,-0.10489438657373,0.0129234927493791
3.3,0.0344780107266723,-0.103276215753695,-0.103276215753695,0.0193408690583511
3.4,0.0405313324670394,-0.10099986760036,-0.10099986760036,0.026077300409835
3.5,0.0426171649871339,-0.098052733569504,-0.098052733569504,0.0327518223651189
3.6,0.0405313324670394,-0.0944617017851339,-0.0944617017851339,0.0389561593004817
3.7,0.0344780107266723,-0.0902937931809793,-0.0902937931809793,0.0442960778363438
3.8,0.0250497410739525,-0.0856527278730673,-0.0856527278730673,0.0484314125760195
3.9,0.0131694282331054,-0.0806717537146823,-0.0806717537146823,0.0511108356582491
4,2.08763898760913e-17,-0.075503435886778,-0.075503435886778,0.0521979567722523
4.1,-0.0131694282331053,-0.0703074048068774,-0.0703074048068774,0.0516861895499621
4.2,-0.0250497410739524,-0.0652372603855054,-0.0652372603855054,0.0497009205023887
4.3,-0.0344780107266723,-0.0604279140714129,-0.0604279140714129,0.0464887602026584
4.4,-0.0405313324670394,-0.0559846080410844,-0.0559846080410844,0.0423949215088042
4.5,-0.0426171649871339,-0.051974687424988,-0.051974687424988,0.037830932426756
4.6,-0.0405313324670394,-0.0484229326248718,-0.0484229326248718,0.0332358379125109
4.7,-0.0344780107266723,-0.0453109108803311,-0.0453109108803311,0.0290346828309335
4.8,-0.0250497410739525,-0.0425804133449685,-0.0425804133449685,0.0255983349815771
4.9,-0.0131694282331054,-0.0401406444940859,-0.0401406444940859,0.0232085764622042
5,-2.60954873451141e-17,-0.0378784638086771,-0.0378784638086771,0.0220318764550683
5.1,0.0131694282331053,-0.0356706812790114,-0.0356706812790114,0.0221044092184746
5.2,0.0250497410739524,-0.0333972075570232,-0.0333972075570232,0.0233297807815032
5.3,0.0344780107266723,-0.0309537762094727,-0.0309537762094727,0.025489684275921
5.4,0.0405313324670394,-0.0282629976472001,-0.0282629976472001,0.0282664387244469
5.5,0.0426171649871339,-0.025282667808665,-0.025282667808665,0.0312752032765553
5.6,0.0405313324670394,-0.0220105235558378,-0.0220105235558378,0.0341027121674196
5.7,0.0344780107266723,-0.0184849846798399,-0.0184849846798399,0.0363487377434196
5.8,0.0250497410739525,-0.0147818153561018,-0.0147818153561018,0.0376662221941594
5.9,0.0131694282331055,-0.0110070373725552,-0.0110070373725552,0.0377961492630847
6,3.13145848141369e-17,-0.00728679437753455,-0.00728679437753455,0.0365937423896141
6.1,-0.0131694282331054,-0.00375516484187193,-0.00375516484187193,0.0340434250360367
6.2,-0.0250497410739524,-0.000541122190179982,-0.000541122190179982,0.0302610792372628
6.3,-0.0344780107266722,0.00224407602013508,0.00224407602013508,0.0254833819777755
6.4,-0.0405313324670393,0.00451783007098687,0.00451783007098687,0.0200452641194401
6.5,-0.0426171649871339,0.00623439486315777,0.00623439486315777,0.0143476994380968
6.6,-0.0405313324670394,0.00738952399476305,0.00738952399476305,0.00881897805042891
6.7,-0.0344780107266724,0.00802110152561491,0.00802110152561491,0.00387325645426494
6.8,-0.0250497410739525,0.00820569471402807,0.00820569471402807,-0.000129556880205164
6.9,-0.0131694282331053,0.0080513604546961,0.0080513604546961,-0.00291865205092325
7,-3.65336822831597e-17,0.00768740502901706,0.00768740502901706,-0.00433849124652644
7.1,0.0131694282331053,0.0072520951880026,0.0072520951880026,-0.00436374138769392
7.2,0.0250497410739524,0.00687951931080445,0.00687951931080445,-0.0031015022940672
7.3,0.0344780107266723,0.00668688076933051,0.00668688076933051,-0.000780610334403876
7.4,0.0405313324670393,0.00676346351748678,0.00676346351748678,0.00227093737897135
7.5,0.0426171649871339,0.00716234643319952,0.00716234643319952,0.00565823037238865
7.6,0.0405313324670394,0.00789567407491883,0.00789567407491883,0.00895820918372355
7.7,0.0344780107266723,0.00893394358918623,0.00893394358918623,0.0117611542150659
7.8,0.0250497410739525,0.0102093745783623,0.0102093745783623,0.0137108398568244
7.9,0.0131694282331055,0.0116230292692798,0.0116230292692798,0.0145394253119028
8,4.17527797521826e-17,0.013054983416282,0.013054983416282,0.0140936687331208
8.1,-0.0131694282331054,0.014376549940463,0.014376549940463,0.0123499005900463
8.2,-0.0250497410739524,0.015463356562799,0.015463356562799,0.00941629246791206
8.3,-0.0344780107266722,0.0162079952818148,0.0162079952818148,0.00552220106829799
8.4,-0.0405313324670393,0.0165310036403672,0.0165310036403672,0.000995632300471951
8.5,-0.0426171649871339,0.0163891012000587,0.0163891012000587,-0.00376896681433879
8.6,-0.0405313324670394,0.0157798734933322,0.0157798734933322,-0.00834943398151255
8.7,-0.0344780107266724,0.0147424436349634,0.0147424436349634,-0.012337342830805
8.8,-0.0250497410739525,0.0133540646901364,0.0133540646901364,-0.0153781203782352
8.9,-0.0131694282331053,0.0117229653539686,0.0117229653539686,-0.0172059022805001
9,-4.69718772212054e-17,0.00997814839533387,0.00997814839533387,-0.0176697125819448
9.1,0.0131694282331052,0.00825713974140686,0.00825713974140686,-0.0167484039447748
9.2,0.0250497410739524,0.00669288681662605,0.00669288681662605,-0.0145528946279427
9.3,0.0344780107266723,0.00540108815109754,0.00540108815109754,-0.011315482036009
9.4,0.0405313324670393,0.00446919417490233,0.00446919417490233,-0.00736727776794063
9.5,0.0426171649871339,0.00394815563722381,0.00394815563722381,-0.00310597191926941
9.6,0.0405313324670394,0.0038477272350387,0.0038477272350387,0.00104291889632487
9.7,0.0344780107266723,0.00413578612269973,0.00413578612269973,0.00466752740924399
9.8,0.0250497410739525,0.00474173205736989,0.00474173205736989,0.00740977633988681
9.9,0.0131694282331055,0.00556363647746101,0.00556363647746101,0.00900025535912622
10,5.21909746902282e-17,0.00647844091384626,0.00647844091384626,0.00928442107274901
10.1,-0.0131694282331054,0.0073542067112974,0.0073542067112974,0.00823755603624845
10.2,-0.0250497410739523,0.00806321730218972,0.00806321730218972,0.00596702308688078
10.3,-0.0344780107266722,0.00849465087560461,0.00849465087560461,0.00270159484098447
10.4,-0.0405313324670393,0.00856558338642899,0.00856558338642899,-0.00123109668207752
10.5,-0.0426171649871339,0.00822924532994932,0.00822924532994932,-0.00543678252035343
10.6,-0.0405313324670393,0.00747972456535804,0.00747972456535804,-0.00949329680878304
10.7,-0.0344780107266724,0.00635265538909646,0.00635265538909646,-0.012992041958475
10.8,-0.0250497410739525,0.00492182697971716,0.00492182697971716,-0.0155781198304019
10.9,-0.0131694282331053,0.0032920437984017,0.0032920437984017,-0.0169852003868003
11,-2.08816657160739e-16,0.00158893743151128,0.00158893743151128,-0.0170617144801617
11.1,0.0131694282331052,-5.32722111021091e-05,-5.32722111021091e-05,-0.0157858067351443
11.2,0.0250497410739524,-0.00150486768771982,-0.00150486768771982,-0.0132675847580816
11.3,0.0344780107266723,-0.00265329474783155,-0.00265329474783155,-0.00973844446901292
11.4,0.0405313324670394,-0.00341415302430959,-0.00341415302430959,-0.00552851646400498
11.5,0.0426171649871339,-0.00373944020785712,-0.00373944020785712,-0.00103444114295327
11.6,0.0405313324670394,-0.00362224206944474,-0.00362224206944474,0.00331937294556015
11.7,0.0344780107266723,-0.00309740860859342,-0.00309740860859342,0.00712221515655098
11.8,0.0250497410739526,-0.00223814952080187,-0.00223814952080187,0.0100172041055848
11.9,0.0131694282331055,-0.00114888163461439,-0.00114888163461439,0.011736155865835
12,6.26291696282738e-17,4.49721341020813e-05,4.49721341020813e-05,0.0121257757163342
12.1,-0.0131694282331054,0.00120923434081841,0.00120923434081841,0.0111626094468347
12.2,-0.0250497410739525,0.00221407637845778,0.00221407637845778,0.00895529050276039
12.3,-0.0344780107266722,0.0029466915461111,0.0029466915461111,0.00573386281257395
12.4,-0.0405313324670393,0.00332229781629791,0.00332229781629791,0.00182722425119604
12.5,-0.0426171649871339,0.0032923937767492,0.0032923937767492,-0.00236910148110104
12.6,-0.0405313324670394,0.00284946007956638,0.00284946007956638,-0.00643171007023234
12.7,-0.0344780107266724,0.00202764664691682,0.00202764664691682,-0.00995078646374851
12.8,-0.0250497410739525,0.000899378801846701,0.000899378801846701,-0.012570240278845
12.9,-0.0131694282331054,-0.000431785046217204,-0.000431785046217204,-0.0140225782413905
13,8.35583179041917e-17,-0.00184134463103072,-0.00184134463103072,-0.0141551003320099
13.1,0.0131694282331052,-0.00319610001822146,-0.00319610001822146,-0.0129448556115294
13.2,0.0250497410739524,-0.00436724605832218,-0.00436724605832218,-0.0105008939781157
13.3,0.0344780107266723,-0.00524303700697914,-0.00524303700697914,-0.00705359366923662
13.4,0.0405313324670393,-0.00573978131314222,-0.00573978131314222,-0.00293210943482904
13.5,0.0426171649871339,-0.00581009005344639,-0.00581009005344639,0.00146785086422815
13.6,0.0405313324670394,-0.00544757134543477,-0.00544757134543477,0.00572276676166901
13.7,0.0344780107266723,-0.00468751098633118,-0.00468751098633118,0.00942277039045765
13.8,0.0250497410739524,-0.00360347248142564,-0.00360347248142564,0.0122117772748522
13.9,0.0131694282331055,-0.00230014908524375,-0.00230014908524375,0.0138223542263256
14,7.30673645663195e-17,-0.000903167377637156,-0.000903167377637156,0.0141019110355991
14.1,-0.0131694282331054,0.000453159678913075,0.000453159678913075,0.0130276519476442
14.2,-0.0250497410739523,0.00163893151701842,0.00163893151701842,0.0107088231849147
14.3,-0.0344780107266722,0.00254132849219641,0.00254132849219641,0.00737603634331266
14.4,-0.0405313324670393,0.00307561017487996,0.00307561017487996,0.00335871259716229
14.5,-0.0426171649871339,0.00319336689904728,0.00319336689904728,-0.000947144524245015
14.6,-0.0405313324670393,0.00288721691511559,0.00288721691511559,-0.00511769331075556
14.7,-0.0344780107266724,0.00219148940944624,0.00219148940944624,-0.00874272258531369
14.8,-0.0250497410739525,0.0011788265706861,0.0011788265706861,-0.0114657858415465
14.9,-0.0131694282331054,-4.69626573189286e-05,-4.69626573189286e-05,-0.0130190723179087
15,-2.29693047036831e-16,-0.00136109759704243,-0.00136109759704243,-0.0132496016982406
15.1,0.0131694282331052,-0.00263007166988807,-0.00263007166988807,-0.012134178424191
15.2,0.0250497410739524,-0.003724750338989,-0.003724750338989,-0.0097816418842927
15.3,0.0344780107266723,-0.00453303906011711,-0.00453303906011711,-0.00642219230458272
15.4,0.0405313324670394,-0.00497088123773996,-0.00497088123773996,-0.00238483727821858
15.5,0.0426171649871339,-0.00499050966173848,-0.00499050966173848,0.00193483330143968
15.6,0.0405313324670394,-0.0045851437557413,-0.0045851437557413,0.00611338942393663
15.7,0.0344780107266723,-0.00378967288302283,-0.00378967288302283,0.0097410278470595
15.8,0.0250497410739526,-0.00267725887413305,-0.00267725887413305,0.0124617045644751
15.9,0.0131694282331055,-0.00135219040033286,-0.00135219040033286,0.0140080043644235
16,8.35055595043651e-17,6.0311283392279e-05,6.0311283392279e-05,0.0142273341647212
16.1,-0.0131694282331054,0.00142633727714474,0.00142633727714474,0.0130968761045619
16.2,-0.0250497410739525,0.0026163879700814,0.0026163879700814,0.0107258366526201
16.3,-0.0344780107266722,0.00351803988114547,0.00351803988114547,0.00734477155080741
16.4,-0.0405313324670393,0.00404694241672573,0.00404694241672573,0.00328303152536826
16.5,-0.0426171649871339,0.00415506803329482,0.00415506803329482,-0.00106346347615
16.6,-0.0405313324670394,0.0038354081479212,0.0038354081479212,-0.00527096704777568
