time,d,e,x_1,x_2
0,-0.0317237764997045,0.117634187165688,0.117634187165688,-0.195670156721385
0.1,-0.00633639756557092,0.0984043693657888,0.0984043693657888,-0.188856804680107
0.2,-0.0048567644473522,0.0799991660574285,0.0799991660574285,-0.179222355404107
0.3,-0.0222028583580394,0.0625710993639732,0.0625710993639732,-0.169325711139949
0.4,-0.0425642846045437,0.0460513384707773,0.0460513384707773,-0.161042297406328
0.5,0.00392683934852152,0.0302680867753116,0.0302680867753116,-0.154577416065428
0.6,-0.0391372190642292,0.015370317854267,0.015370317854267,-0.143402820722922
0.7,-0.0441038021090647,0.00137223516255642,0.00137223516255642,-0.136533777878159
0.8,-0.0316202110416415,-0.0119563585359649,-0.0119563585359649,-0.130013963149592
0.9,0.0410939465407407,-0.0245656922210272,-0.0245656922210272,-0.122172198360775
1,-0.0190966400736613,-0.0360374180601609,-0.0360374180601609,-0.107364175094024
1.1,-0.00142667686624862,-0.0463522567824101,-0.0463522567824101,-0.0989587237763577
1.2,0.00641159856124193,-0.0557488590575206,-0.0557488590575206,-0.0890274435490322
1.3,0.034371814937881,-0.0641307960827122,-0.0641307960827122,-0.0786794308901133
1.4,-0.0241097171156423,-0.0713625816661214,-0.0713625816661214,-0.0660642300740138
1.5,0.010569408010273,-0.0776500448690405,-0.0776500448690405,-0.0597172708806046
1.6,0.044420464185098,-0.0831439502439068,-0.0831439502439068,-0.050241407565031
1.7,-0.0335795972930904,-0.0875498079801078,-0.0875498079801078,-0.0380022313418577
1.8,0.0226969175051709,-0.0911493302171764,-0.0911493302171764,-0.0340114319323164
1.9,-0.00368271696290303,-0.0940829647790124,-0.0940829647790124,-0.0247601704736433
2,0.0252487240985843,-0.0962495090038894,-0.0962495090038894,-0.0186343425165441
2.1,0.014821345623307,-0.0976817337898433,-0.0976817337898433,-0.0101118582160664
2.2,-0.0220399393014068,-0.0983428585990736,-0.0983428585990736,-0.00319732799126099
2.3,-0.000425284024176133,-0.0985178240631589,-0.0985178240631589,-0.000338641387105624
2.4,0.0106518558302625,-0.0983126553082457,-0.0983126553082457,0.00437742216573801
2.5,-0.00463641259215255,-0.0976012127049445,-0.0976012127049445,0.00977354868024764
2.6,-0.0304334120175154,-0.0964477532835767,-0.0964477532835767,0.0132398082427086
2.7,-0.0345117438227111,-0.0950898161467689,-0.0950898161467689,0.0138988311159992
2.8,0.0242154263350145,-0.0936917517449487,-0.0936917517449487,0.0140488068591606
2.9,-0.0262115127192117,-0.0919968471730673,-0.0919968471730673,0.0197590199609374
3,-0.00856192329542304,-0.0900031886855695,-0.0900031886855695,0.0200930819293371
3.1,0.0233499310605665,-0.0878963985220324,-0.0878963985220324,0.0219997415135752
3.2,0.0017912663204949,-0.0854563257454755,-0.0854563257454755,0.0267184605243096
3.3,-0.0397507486683021,-0.0826740104657648,-0.0826740104657648,0.0288758921694448
3.4,0.00703515708090475,-0.0798934963698906,-0.0798934963698906,0.0267397035617561
3.5,-0.0146329844838957,-0.0770971556932103,-0.0770971556932103,0.0291319096816775
3.6,0.0170276519513486,-0.0741833746504116,-0.0741833746504116,0.0291195944454656
3.7,0.0359686510174893,-0.0711237662774707,-0.0711237662774707,0.0320085550859472
3.8,-0.015943356272254,-0.067702001830223,-0.067702001830223,0.0363404576547996
3.9,-0.0139874986372418,-0.0641252658418761,-0.0641252658418761,0.0351799312879726
4,-0.0263136502788148,-0.0606591536095252,-0.0606591536095252,0.0341274635103605
4.1,0.0289863899250879,-0.0573625340887047,-0.0573625340887047,0.0318083787039199
4.2,0.0133365112882116,-0.0540274658960807,-0.0540274658960807,0.0348249699329696
4.3,0.0396450009987169,-0.050487019599089,-0.050487019599089,0.0359395904776073
4.4,0.0245738489519196,-0.0467201079555549,-0.0467201079555549,0.0393221487132345
4.5,-0.0343071630472821,-0.042710910535209,-0.042710910535209,0.040808570350933
4.6,0.00211748656503362,-0.0388553271324702,-0.0388553271324702,0.0363306774134303
4.7,-0.0156999943890269,-0.0352618255526151,-0.0352618255526151,0.0355202158389095
4.8,-0.0215920379114164,-0.0318416159791109,-0.0318416159791109,0.0328905390113839
4.9,0.0224772410261535,-0.0287109215659654,-0.0287109215659654,0.0297392800474661
5,0.00900895492440605,-0.0256759469816216,-0.0256759469816216,0.0309191877287074
5.1,0.00433958560948752,-0.0226006122011744,-0.0226006122011744,0.0305665823754595
5.2,-0.0169143967329217,-0.0195893475222386,-0.0195893475222386,0.0296458944916957
5.3,-0.0297013865341507,-0.0167772687161027,-0.0167772687161027,0.0266126932970068
5.4,-0.0436937862780386,-0.014325532919805,-0.014325532919805,0.0224570044827588
5.5,0.0151034178786825,-0.0123469165712041,-0.0123469165712041,0.0171693408166231
5.6,-0.0323502123575636,-0.0105946786818119,-0.0105946786818119,0.0178517164421653
5.7,0.00162683649067545,-0.00901215011995278,-0.00901215011995278,0.0138391711781736
5.8,0.0386283686963072,-0.0076533999520302,-0.0076533999520302,0.0133312817913189
5.9,-0.00746242600193037,-0.00616662973692194,-0.00616662973692194,0.0163514615686468
6,0.027984509877913,-0.00461780300953995,-0.00461780300953995,0.0146350532087289
6.1,-0.0115081402406243,-0.00306503289823514,-0.00306503289823514,0.0163840877093966
6.2,0.0393927583538327,-0.00154031301995245,-0.00154031301995245,0.0141276912450607
6.3,0.0140356978743971,1.17754817802589e-05,1.17754817802589e-05,0.0168646500472728
6.4,-0.0346679627855416,0.00169948213676262,0.00169948213676262,0.01687527745136
6.5,-0.0166928358755882,0.00314704797697949,0.00314704797697949,0.0121272869243735
6.6,-0.020607048110129,0.00422265737168994,0.00422265737168994,0.00941214187342184
6.7,0.0401103154455242,0.0050158771131412,0.0050158771131412,0.00648467813701054
6.8,-0.0237263517318485,0.00582158619936194,0.00582158619936194,0.00958149611809318
6.9,0.0275268787326172,0.00661199438276513,0.00661199438276513,0.00626431273419852
7,-0.0177075019047524,0.00733141159067488,0.00733141159067488,0.00809364387532546
7.1,0.0373496538511995,0.0080045705159935,0.0080045705159935,0.00539984458305947
7.2,-0.0181896257670724,0.00868539870398145,0.00868539870398145,0.00817405406200713
7.3,-0.0109151644762495,0.00936063723635442,0.00936063723635442,0.00536257832125733
7.4,-0.0154377618229077,0.00979966870069218,0.00979966870069218,0.00344002799760579
7.5,-0.00830294208536833,0.0100310070535351,0.0100310070535351,0.001214486945635
