time,d,e,x_1,x_2
0,0.0291203829442609,-0.217891223313533,-0.217891223313533,0.0515147744517231
0.1,0.0223802457149578,-0.212272537451188,-0.212272537451188,0.060689780749347
0.2,0.018462391071752,-0.205819306051757,-0.205819306051757,0.0682206539001582
0.3,-0.0360169823709658,-0.198677700351708,-0.198677700351708,0.0744686366743664
0.4,-0.0441803628077588,-0.191218681266711,-0.191218681266711,0.074647206905046
0.5,-0.0151445583370304,-0.183800401012334,-0.183800401012334,0.073669615951609
0.6,0.0344644735893429,-0.176352721644364,-0.176352721644364,0.0752014827459795
0.7,0.0282146455556194,-0.168534609736345,-0.168534609736345,0.0810180471577543
0.8,0.0437656962082784,-0.160207411157588,-0.160207411157588,0.0853981281324613
0.9,0.0120594321418287,-0.15140419161511,-0.15140419161511,0.0905245479024414
1,0.00505973538574864,-0.142284457034718,-0.142284457034718,0.0917774414419961
1.1,-0.00893855915094121,-0.133100677528801,-0.133100677528801,0.0918210376494611
1.2,0.00950482808617002,-0.124003195231421,-0.124003195231421,0.0900760654079452
1.3,0.0217979738456381,-0.11500564399189,-0.11500564399189,0.0898036144369793
1.4,0.0123564589785774,-0.105996317391029,-0.105996317391029,0.0903012066503952
1.5,-0.0300318270953806,-0.097007089607075,-0.097007089607075,0.0894201881638543
1.6,0.0254063592375966,-0.0883306530907925,-0.0883306530907925,0.0841070858267452
1.7,0.0310696037745995,-0.0799156870899068,-0.0799156870899068,0.0841219133985554
1.8,-0.000358495064974329,-0.0714922116890542,-0.0714922116890542,0.0842753546231529
1.9,-0.0384676949820328,-0.0632274710049904,-0.0632274710049904,0.0809943373485437
2,0.0309019638664889,-0.0554833896709869,-0.0554833896709869,0.0739171253153995
2.1,0.00542981131162396,-0.0481000993167217,-0.0481000993167217,0.073690181880663
2.2,-0.00954974434154942,-0.0408805492765503,-0.0408805492765503,0.0706807851079108
2.3,0.0375703052582338,-0.0340404544403123,-0.0340404544403123,0.0661248614504605
2.4,-0.00587522974721526,-0.0274251400674788,-0.0274251400674788,0.0661262807482976
