time,d,e,x_1,x_2
0,-0,0.331430440405534,0.331430440405534,-0.135688365452462
0.1,-0.00794728359580475,0.317594450498708,0.317594450498708,-0.140847344939846
0.2,-0.0151166317012714,0.303258062293159,0.303258062293159,-0.145696295505419
0.3,-0.0208062585720513,0.288456050376277,0.288456050376277,-0.150161061823444
0.4,-0.0244592238880712,0.273233641218656,0.273233641218656,-0.154107646593476
0.5,-0.0257179499524931,0.2576515290319,0.2576515290319,-0.157361363740097
0.6,-0.0244592238880712,0.241788774892949,0.241788774892949,-0.159729949469318
0.7,-0.0208062585720513,0.225743309219888,0.225743309219888,-0.161028341960993
0.8,-0.0151166317012714,0.209629994863258,0.209629994863258,-0.161102679460578
0.9,-0.00794728359580475,0.193576449210013,0.193576449210013,-0.159851145303579
1,-3.14954050899525e-18,0.177717045186986,0.177717045186986,-0.157239599245298
1.1,0.00794728359580474,0.162185691223112,0.162185691223112,-0.153310446944416
1.2,0.0151166317012714,0.147108111455456,0.147108111455456,-0.148183863392204
1.3,0.0208062585720513,0.132594397884868,0.132594397884868,-0.142051236494367
1.4,0.0244592238880712,0.118732580875475,0.118732580875475,-0.135161460440569
1.5,0.0257179499524931,0.105583865834349,0.105583865834349,-0.127801410205328
1.6,0.0244592238880712,0.0931800217599398,0.0931800217599398,-0.12027249982307
1.7,0.0208062585720513,0.081523197491222,0.081523197491222,-0.112865612045547
1.8,0.0151166317012714,0.0705882044752095,0.0705882044752095,-0.105836847937575
1.9,0.00794728359580475,0.0603270639083249,0.0603270639083249,-0.0993864661421352
2,6.29908101799051e-18,0.0506753947931285,0.0506753947931285,-0.093643070664227
2.1,-0.00794728359580474,0.0415600394589975,0.0415600394589975,-0.0886545935163783
2.2,-0.0151166317012714,0.0329072020514295,0.0329072020514295,-0.0843869546059206
2.3,-0.0208062585720513,0.0246503252572371,0.0246503252572371,-0.080730530819689
2.4,-0.0244592238880712,0.0167369560283297,0.0167369560283297,-0.077513802834035
2.5,-0.0257179499524931,0.00913394980793284,0.00913394980793284,-0.0745228464784973
2.6,-0.0244592238880712,0.00183052509287439,0.00183052509287439,-0.0715247641995431
2.7,-0.0208062585720513,-0.00516110979787871,-0.00516110979787871,-0.0682927672299282
2.8,-0.0151166317012714,-0.0118075986868631,-0.0118075986868631,-0.0646304581526952
2.9,-0.00794728359580476,-0.0180585480364933,-0.0180585480364933,-0.060392942411042
3,-9.44862152698576e-18,-0.023852484301067,-0.023852484301067,-0.0555027082395648
3.1,0.00794728359580474,-0.0291240562932096,-0.0291240562932096,-0.0499587270463122
