time,d,e,x_1,x_2
0,-0.0446771662228489,0.300081231427212,0.300081231427212,-0.230639156838159
0.1,0.0172012067659674,0.276986475049426,0.276986475049426,-0.231057934865326
0.2,-0.0166622527481028,0.254208888936583,0.254208888936583,-0.224392851712192
0.3,0.037096641646117,0.231961923806825,0.231961923806825,-0.220414116816252
0.4,0.0445956803711326,0.210412815019129,0.210412815019129,-0.210520411212397
0.5,-0.0259910300981857,0.189902687025731,0.189902687025731,-0.1996561010717
0.6,-0.028666556366143,0.170142148443883,0.170142148443883,-0.195446139444102
0.7,0.0408637467707622,0.150820936813256,0.150820936813256,-0.190877999023491
0.8,0.00993250034084968,0.132323822440274,0.132323822440274,-0.179067630443488
0.9,0.03845745216502,0.114855257324025,0.114855257324025,-0.170275341457012
1,-0.0291603877286002,0.0984123183230182,0.0984123183230182,-0.158602070224627
1.1,-0.0210366014617662,0.08280120106929,0.08280120106929,-0.153557450869972
1.2,0.0210301477210958,0.067752023388958,0.067752023388958,-0.147383026448488
1.3,-0.0302121308021212,0.053537116388159,0.053537116388159,-0.136935961333097
1.4,0.00529399014237865,0.0401105674116568,0.0401105674116568,-0.13155488489127
1.5,0.00908067274669685,0.0274062270034854,0.0274062270034854,-0.122546179518336
1.6,-0.0234175872297342,0.0156162916708412,0.0156162916708412,-0.113277864909284
1.7,-0.00902322030898675,0.00458685619062682,0.00458685619062682,-0.107298662361989
1.8,-0.00377085108089972,-0.00577152634228361,-0.00577152634228361,-0.0998815709423996
1.9,0.0430432859985094,-0.0153669130587667,-0.0153669130587667,-0.0920506226067487
2,-0.00457006617638167,-0.0239591279117898,-0.0239591279117898,-0.07988430167948
2.1,-0.000988330929016252,-0.0315939146594332,-0.0315939146594332,-0.0728417182813827
2.2,-0.0399883632376449,-0.0385164272148725,-0.0385164272148725,-0.0656467847717908
2.3,0.0165845307819037,-0.0449210267626374,-0.0449210267626374,-0.0624346665786492
2.4,-0.0357683911705384,-0.0507262420180986,-0.0507262420180986,-0.0537372355703165
2.5,0.0290021217912323,-0.0559369789450037,-0.0559369789450037,-0.0504775463048606
2.6,-0.0280291329749775,-0.0605067689646346,-0.0605067689646346,-0.0410064620923807
2.7,0.0317244439647817,-0.0644335682891148,-0.0644335682891148,-0.0375429843078098
2.8,-0.0291339432318023,-0.0677273954519124,-0.0677273954519124,-0.0284276560312827
2.9,0.0391262621428582,-0.0704341261391698,-0.0704341261391698,-0.0257204997342292
3,-0.00985823989573544,-0.0725420751798511,-0.0725420751798511,-0.0165432854458453
3.1,-0.0429375712016231,-0.0740020777201766,-0.0740020777201766,-0.0126959005004624
3.2,0.00996214602852258,-0.0752500900519264,-0.0752500900519264,-0.0122597618060386
3.3,-0.0209215020526287,-0.076195707774894,-0.076195707774894,-0.00671859928905687
3.4,0.0146470470136529,-0.0767572559654316,-0.0767572559654316,-0.0045367777617016
3.5,-0.0198416106053143,-0.0769348073526577,-0.0769348073526577,0.000914540967106864
3.6,-0.0200476082063864,-0.0767563321752386,-0.0767563321752386,0.00263059325297293
3.7,0.0318029848690707,-0.0764145109110606,-0.0764145109110606,0.00418229301512745
3.8,-0.00685445546727931,-0.0756721492867602,-0.0756721492867602,0.010573531640842
3.9,0.0300119834681769,-0.074506035091897,-0.074506035091897,0.0127105397145387
4,-0.0261922437238884,-0.0729581146012509,-0.0729581146012509,0.0181622768722858
4.1,-0.000286949349703669,-0.0711640221565328,-0.0711640221565328,0.017710643737147
4.2,-0.00137992935646448,-0.0692915755759802,-0.0692915755759802,0.0196962087284629
4.3,0.00274868575696402,-0.067238342780776,-0.067238342780776,0.0213295580048435
4.4,-0.0188582417490895,-0.0650131701477951,-0.0650131701477951,0.0231313269550903
4.5,-0.0226057601916233,-0.0627255656265388,-0.0627255656265388,0.0226086697252228
4.6,-0.0138263188195789,-0.0605119564049134,-0.0605119564049134,0.0216577481099621
4.7,0.0435151358297002,-0.0583523141417208,-0.0583523141417208,0.0215189512904628
4.8,-0.0209455222262207,-0.05593215901224,-0.05593215901224,0.026793650271399
4.9,-0.0105521700722096,-0.0533251409427458,-0.0533251409427458,0.0253443121428439
5,0.0309877507461544,-0.0508130521012989,-0.0508130521012989,0.0248826864792442
5.1,-0.0145857091463462,-0.0481492179898005,-0.0481492179898005,0.0283258855757342
5.2,0.02048541655331,-0.045383053679818,-0.045383053679818,0.026992134211248
5.3,0.0379366985851332,-0.0425809932645197,-0.0425809932645197,0.0289989647899941
5.4,-0.0140074992838639,-0.0395081069626529,-0.0395081069626529,0.0323879650778159
5.5,-0.017148519534915,-0.0363700984853907,-0.0363700984853907,0.0303729238357296
5.6,-0.0184613860570711,-0.0334485083306585,-0.0334485083306585,0.0280653033616071
5.7,-0.00432480400389981,-0.0307620064674452,-0.0307620064674452,0.0256742298032596
5.8,-0.0326879250122789,-0.0282428376246762,-0.0282428376246762,0.0247011299121521
5.9,0.0302487424498007,-0.0259612920322549,-0.0259612920322549,0.0209606456162899
6,-0.00912659410708042,-0.023738147079903,-0.023738147079903,0.0234505272418908
6.1,0.0333884195738411,-0.0214729733312539,-0.0214729733312539,0.0218553421346709
6.2,-0.0155592895525474,-0.0191595568555219,-0.0191595568555219,0.0243603078132048
6.3,0.0373413176068532,-0.0168494741889758,-0.0168494741889758,0.0218554947889225
6.4,-0.0395618802368525,-0.0145280551361373,-0.0145280551361373,0.0245180388434325
6.5,0.0128349533742407,-0.012330924993539,-0.012330924993539,0.0194735193138055
6.6,0.0267142631704963,-0.01036850965166,-0.01036850965166,0.0197546853391157
6.7,-0.0450739984488999,-0.0083163168886445,-0.0083163168886445,0.0212521019612773
6.8,0.0199740476665237,-0.00647474283184841,-0.00647474283184841,0.0156388805251393
6.9,-0.0432054193558222,-0.00486005068998149,-0.00486005068998149,0.016628313625655
7,0.0349923393813189,-0.00346179004614651,-0.00346179004614651,0.0113950286700711
7.1,0.0376643891548649,-0.00218884599073641,-0.00218884599073641,0.0140182662195632
7.2,0.0252326152350407,-0.000654099125335602,-0.000654099125335602,0.0166290690371069
7.3,0.0421382023115589,0.00106710493599148,0.00106710493599148,0.0177655156268255
7.4,-0.0262513381864323,0.00297553105433987,0.00297553105433987,0.0203526069400768
7.5,-0.0407370243284736,0.00479486632436698,0.00479486632436698,0.0160759630270387
7.6,-0.0293128749590915,0.00612860556612593,0.00612860556612593,0.010659925736949
7.7,-0.0429799665741839,0.00699463111300049,0.00699463111300049,0.00670608946918521
7.8,0.00162531326355675,0.00741236241019784,0.00741236241019784,0.00171165195727621
7.9,0.00696610082948149,0.00756659479444231,0.00756659479444231,0.00137618366664444
8,0.0137231532984668,0.00771423372961956,0.00771423372961956,0.00157274378238406
8.1,0.0179432111403,0.0079132763767368,0.0079132763767368,0.00239548003511766
8.2,0.00936590062188215,0.00821137764664483,0.00821137764664483,0.00354868426490037
8.3,0.0398493992378216,0.00857774119871071,0.00857774119871071,0.00377254877882758
8.4,0.00837765182105313,0.00911308116244567,0.00911308116244567,0.00688824433389535
8.5,-0.0360376301748386,0.00979311983239139,0.00979311983239139,0.0067092489566155
8.6,-0.0282554872516478,0.0102381342632783,0.0102381342632783,0.00224683373339818
8.7,-0.000829830663459283,0.0102914422811124,0.0102914422811124,-0.00113601030656894
8.8,0.023455345679372,0.0101532728043971,0.0101532728043971,-0.00161977722968757
8.9,-0.0103320279129395,0.0100871886983276,0.0100871886983276,0.000273401893592321
9,-0.0109507917362143,0.0100386046206803,0.0100386046206803,-0.00122470266286882
9.1,-0.0361055998483359,0.00984327233260091,0.00984327233260091,-0.00266116143494811
9.2,0.0331691024880536,0.00938804483183574,0.00938804483183574,-0.00638987593040404
9.3,-0.0133801648824708,0.00891305614171427,0.00891305614171427,-0.00314915197051818
9.4,0.0208602318674058,0.00852384430730725,0.00852384430730725,-0.00461233113540556
9.5,-0.0406316996383984,0.00816173599171008,0.00816173599171008,-0.00265294440152346
9.6,0.0386585185780097,0.00768936001029725,0.00768936001029725,-0.00673619228072502
9.7,0.0283934683718913,0.00721196893468355,0.00721196893468355,-0.0028593454576635
9.8,-0.0397270564699212,0.00705804915830494,0.00705804915830494,-0.000252527098460961
9.9,0.00925921615862912,0.00682326118714057,0.00682326118714057,-0.00438615742639665
10,-0.0231818341642744,0.00643054437510654,0.00643054437510654,-0.00347702869425783
10.1,-0.00660645770212466,0.00596818246546639,0.00596818246546639,-0.00573623205390047
10.2,0.0430181973200308,0.00537068377672688,0.00537068377672688,-0.00620254480502127
10.3,0.000763737474193782,0.00497139850261574,0.00497139850261574,-0.00183803039440401
10.4,0.0446356518247687,0.00478652127843251,0.00478652127843251,-0.00185771105711302
10.5,-0.0403459192009195,0.00481374076213088,0.00481374076213088,0.00234582341844448
10.6,-0.0322891685353726,0.00483090777935788,0.00483090777935788,-0.00194540630008431
10.7,-0.0128028471799971,0.00447518420368886,0.00447518420368886,-0.00512372084959336
10.8,0.0136867383489822,0.00390997549492857,0.00390997549492857,-0.00616190014195527
10.9,-0.0302680700268397,0.00337538370257564,0.00337538370257564,-0.0045470139847374
11,0.0145324612439209,0.00278322148417465,0.00278322148417465,-0.00725518470404246
11.1,0.0106160950221063,0.00215050605389053,0.00215050605389053,-0.00541834407390251
11.2,0.00119371104316621,0.00167665011588015,0.00167665011588015,-0.00407276806878393
11.3,-0.0190636197082822,0.00128729432492285,0.00128729432492285,-0.00371586222460846
11.4,-0.0141460447749472,0.00083455982192515,0.00083455982192515,-0.00531374870462308
11.5,-0.0332099589313809,0.000253426029066287,0.000253426029066287,-0.00629105297856922
11.6,0.024042173489794,-0.000512927943505022,-0.000512927943505022,-0.0089936041612044
11.7,-0.0307320112952319,-0.00125826624588452,-0.00125826624588452,-0.00594756714241927
11.8,0.0304608714721858,-0.00197589740087232,-0.00197589740087232,-0.00836681723418645
11.9,-0.0408496505329018,-0.00262624690125586,-0.00262624690125586,-0.00468386233232338
12,0.03737011400444,-0.00326844757319397,-0.00326844757319397,-0.00810912662849994
12.1,0.0276903342624569,-0.0038572776885152,-0.0038572776885152,-0.00372107967768562
12.2,-0.000571782039789294,-0.00407042889000473,-0.00407042889000473,-0.000582024710828593
12.3,0.0419883457723093,-0.00411919460087029,-0.00411919460087029,-0.000395371987335965
12.4,0.0157271787311246,-0.00394276661182464,-0.00394276661182464,0.00386564460620755
12.5,0.0411422455080382,-0.0034854262452382,-0.0034854262452382,0.00525877545240711
12.6,0.0189738415133402,-0.00277172209112546,-0.00277172209112546,0.00896000751252548
12.7,0.0377862818525903,-0.00181224553170204,-0.00181224553170204,0.010204928285116
12.8,-0.0289478108607378,-0.000643995790579153,-0.000643995790579153,0.013111573752084
12.9,0.0349368713288643,0.000475706970489142,0.000475706970489142,0.00932365938574548
13,-0.0202749740686129,0.00153989639278813,0.00153989639278813,0.0119166852693761
13.1,0.00683095394464314,0.00258175884372432,0.00258175884372432,0.00895142099397221
13.2,-0.0381534946176731,0.00346827970284909,0.00346827970284909,0.00877397477864768
13.3,0.0192362239667495,0.00411665228838373,0.00411665228838373,0.00424841832615903
13.4,0.0332005600092044,0.00460821409809278,0.00460821409809278,0.0055612165882552
13.5,0.0337908481426827,0.00529260867663579,0.00529260867663579,0.00808728884349518
13.6,-0.00682952627817184,0.00622077562777264,0.00622077562777264,0.0104369844804519
13.7,0.0372423690075997,0.00717460165075935,0.00717460165075935,0.00865534424301607
13.8,-0.0276588214210046,0.00816953525138725,0.00816953525138725,0.0112010915163482
13.9,0.0345378209838049,0.00909060982573153,0.00909060982573153,0.00726520614830519
14,-0.0280622916323962,0.00993422945601392,0.00993422945601392,0.00956943160850836
14.1,-0.0199628359822879,0.0106923662651287,0.0106923662651287,0.00563939060503066
14.2,0.0270952730110559,0.0111107000556583,0.0111107000556583,0.00276216448850924
14.3,0.0137272928023114,0.0114807762410375,0.0114807762410375,0.00461161450979893
14.4,-0.0183312363502715,0.0119624787076148,0.0119624787076148,0.00501306769792682
14.5,-0.04052914045272,0.0123255205982873,0.0123255205982873,0.00228117229445095
14.6,-0.0277760295366815,0.0123173067913687,0.0123173067913687,-0.00238318482656203
14.7,-0.0122354401860466,0.0119232932540457,0.0119232932540457,-0.00545287094658534
14.8,-0.0272273261329959,0.0113111138018754,0.0113111138018754,-0.00676807955363831
14.9,-0.0113536742991268,0.0105011623017069,0.0105011623017069,-0.00938924997573796
15,-0.0405482231917213,0.00951874673426599,0.00951874673426599,-0.0102395369282649
15.1,-0.0397710004919181,0.00831497576620779,0.00831497576620779,-0.0137786601022915
15.2,-0.0100782666885014,0.00677807473190566,0.00677807473190566,-0.0169048681000556
15.3,-0.0302213269049225,0.00508924402915442,0.00508924402915442,-0.016858293723278
15.4,0.037234654924364,0.00331095382366666,0.00331095382366666,-0.0186685534035574
15.5,-0.019142723142395,0.0016914887531997,0.0016914887531997,-0.0137725369149343
15.6,0.00341855396239243,0.000271698326083473,0.000271698326083473,-0.0146004014605288
15.7,0.0113176784127068,-0.00111432022476415,-0.00111432022476415,-0.0131280521730927
15.8,-0.0071497414451075,-0.00231713689352125,-0.00231713689352125,-0.0109473359248869
15.9,0.000378602682754282,-0.00339751012245981,-0.00339751012245981,-0.0106550234868285
16,0.0366565495649304,-0.00441054244667478,-0.00441054244667478,-0.00961110105928684
16.1,-0.00480895461479337,-0.00514429258763751,-0.00514429258763751,-0.00511770288825232
16.2,0.0171134128756526,-0.00564660464985409,-0.00564660464985409,-0.00492689675436702
16.3,-0.00393729055885456,-0.00602267004154157,-0.00602267004154157,-0.0026220109290459
16.4,-0.0324134883573434,-0.00627895423104606,-0.00627895423104606,-0.00250312248369768
16.5,0.0362856956106554,-0.00666179995873195,-0.00666179995873195,-0.00511576444730784
16.6,-0.0282260833811586,-0.00696021391582365,-0.00696021391582365,-0.000906159404261415
16.7,-0.011065493643342,-0.00716767286455444,-0.00716767286455444,-0.00321056355410034
16.8,-0.0276804298633785,-0.00751238092415015,-0.00751238092415015,-0.00367453843481811
16.9,0.00802648082015289,-0.00798167248955198,-0.00798167248955198,-0.00568063267354076
17,-0.0382586136620163,-0.00846866087972051,-0.00846866087972051,-0.00407646714493066
17.1,-0.0367944399080788,-0.00902570712843051,-0.00902570712843051,-0.00702055897277621
17.2,-0.0296036977269896,-0.00985697616521561,-0.00985697616521561,-0.00956398036289428
17.3,0.0199050886161577,-0.0108954536743457,-0.0108954536743457,-0.0111754287746144
17.4,-0.0198196410724376,-0.0118451696400267,-0.0118451696400267,-0.00785524815491577
17.5,0.0254744228106789,-0.0126671067575416,-0.0126671067575416,-0.00856715225515844
17.6,0.0213344644581978,-0.0133349452192429,-0.0133349452192429,-0.00483383237312115
17.7,-0.0263532213200782,-0.0136628185081192,-0.0136628185081192,-0.00176186323664933
17.8,-0.0138873650957886,-0.013927018559543,-0.013927018559543,-0.00349680226787392
17.9,0.0123734913260665,-0.0142964975789283,-0.0142964975789283,-0.00388452919733435
18,0.00354262284495072,-0.0145744899356127,-0.0145744899356127,-0.00170210216042415
18.1,0.0129771972156944,-0.0146852215293431,-0.0146852215293431,-0.000527272310234998
18.2,-0.00629323187463941,-0.0146369505291157,-0.0146369505291157,0.00146571530339257
18.3,0.0188178789740388,-0.0144912157975318,-0.0144912157975318,0.0014480011040351
18.4,-0.0135848832766189,-0.0142253140821219,-0.0142253140821219,0.0038359758349585
18.5,0.0160466961924972,-0.0138884684839913,-0.0138884684839913,0.00291046996514413
18.6,-0.0439510431553221,-0.0134970888878812,-0.0134970888878812,0.00488749857361932
18.7,0.00324926806806016,-0.0132088439791347,-0.0132088439791347,0.000927796807538674
18.8,-0.00616929762810179,-0.0130717921414336,-0.0130717921414336,0.00180046164525122
18.9,-0.038792978672202,-0.012897119362076,-0.012897119362076,0.00169297165523999
19,-0.0020040592217488,-0.0128919817272552,-0.0128919817272552,-0.0015470587739087
19.1,0.0281318114443516,-0.0130189171889946,-0.0130189171889946,-0.000997915045714431
